Address,Prices,Area,toFace,type,certificate,width,length,floors,road_front,Terrace,Parking
" Đường Nại Hiên Đông 12, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,6 tỷ ", 70 m2,Tây Bắc,Nhà mặt tiền,---,"4,5m","15,3m",3,"5,5m",---,---
" Đường Nại Hiên Đông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,6 tỷ ", 65 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","15,3m",3,"5,5m",,
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 52 tỷ , 250 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,25m,9,40m,---,---
" Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 3,4 tỷ ", 75 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,5m","21,4m",2,4m,---,---
" Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 11,9 tỷ ", 102 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,19m,7,"7,5m",---,---
" Đường Âu Cơ, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"," 9,2 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,10m,,
" Đường Nại Hiên Đông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,6 tỷ ", 68 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,2,"5,5m",,---
" Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 2,499 tỷ ", 100 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,10m,20m,1,33m,,
" Đường Chi Lăng, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng"," 24,5 tỷ ", 108 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,5m,22m,7,10m,,
" Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 46 tỷ , 180 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,9m,20m,1,11m,,
" Đường Nguyễn Hiền, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,2 tỷ ", 72 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,18m,2,5m,,
" Đường Dương Văn An, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng"," 3,5 tỷ ", 75 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,5m5m,,
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 8,9 tỷ ", 120 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,3,30m,---,---
" Đường Ông Ích Khiêm, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 2,55 tỷ ", 54 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,2,2m,---,---
" Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 46 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,5m",14m,3,3m,,
" Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 73 m2,Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,11m,2,3m,,---
" Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 3,05 tỷ ", 63 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,5m",18m,3,3m,---,---
" Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 3,69 tỷ ", 150 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,3m","17,5m",2,4m,---,
" Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 4,2 tỷ ", 186 m2,Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,9m,3,3m,,
" Đường Lê Cao Lãng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,65 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,6m,,
" Đường Phạm Huy Thông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng", 27 tỷ , 257 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"12,5m",21m,9,"7,5m",---,---
" Đường Đinh Liệt, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 16,95 tỷ ", 350 m2,_,Nhà mặt tiền,---,14m,---,1,27m,---,---
" 305 Đường Yên Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 3,9 tỷ ", 42 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,5m,"8,5m",3,5m,---,---
" 536.25.10 Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 2,4 tỷ ", 61 m2,_,Nhà trong hẻm,Giấy tờ hợp lệ,"4,3m",15m,2,3m,---,---
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,45 tỷ ", 78 m2,_,Nhà mặt tiền,---,6m,13m,2,6m,,
" Đường Quách Thị Trang, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,"7,5m",,
" Đường An Thượng 29, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 9,5 tỷ ", 71 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,4,"7,5m",,
" Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 6,4 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,1,5m,---,---
" Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 9,7 tỷ ", 67 m2,_,Nhà mặt tiền,---,---,---,5,22m,---,---
" Đường Thanh Lương 9, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,35 tỷ ", 270 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,7m5m,,
" Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 22,2 tỷ ", 251 m2,_,Nhà mặt tiền,---,"12,7m",---,4,"7,5m",---,---
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 2,95 tỷ ", 66 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,5m",19m,2,4m,,---
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,7 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"5,5m",,
" Đường Tố Hữu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 8,7 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,20m,2,7m,---,---
" Đường An Thượng 20, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 7 tỷ , 81 m2,_,Nhà mặt tiền,---,"4,5m",18m,2,5m,---,---
" Đường Bàu Tràm 1, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,8 tỷ ", 74 m2,_,Nhà mặt tiền,---,"6,2m","16,5m",3,"7,5m",---,---
" Đường Mỹ Đa Tây 5, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,85 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,20m,---,7m,---,---
" Đường Lê Đại Hành, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"," 8,5 tỷ ", 100 m2,_,Nhà mặt tiền,---,5m,20m,3,10m,---,---
" Đường Trần Văn Giáp, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 5,45 tỷ ", 83 m2,_,Nhà mặt tiền,---,5m,"16,5m",1,5m,---,---
" Đường Lý Thái Tông, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng", 9 tỷ , 100 m2,_,Nhà mặt tiền,---,---,---,3,10m,---,---
" Đường Nguyễn Đức Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 5,4 tỷ ", 59 m2,_,Nhà mặt tiền,---,"4,5m",13m,3,5m,---,---
" Đường Mỹ An 17, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 7,5 tỷ ", 110 m2,_,Nhà mặt tiền,---,5m,22m,4,5m,---,---
" Đuờng Vũ Hữu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 9,8 tỷ ", 105 m2,_,Nhà mặt tiền,---,5m,21m,3,7m,---,---
" Đường Nguyễn Tất Thành, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng", 10 tỷ , 125 m2,_,Nhà mặt tiền,---,---,---,---,30m,---,---
" Đường Nguyễn Chí Thanh, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng", 16 tỷ , 89 m2,_,Nhà mặt tiền,---,"4,5m","19,6m",3,10m,---,---
" Đường Nguyễn Tri Phương, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 4,5 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"22,5m",---,6m,,
" Đường Nguyễn Đức Trung, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 11,5 tỷ ", 70 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,6m",15m,4,11m,,
" 137 Đường Nguyễn Du, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 4,35 tỷ ", 56 m2,Tây,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,1m","9,2m",3,3m,,
" Đường Hoàng Thị Loan, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 17,2 tỷ ", 147 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,21m,5,45m,,
" Đường Hồ Xuân Hương, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,7 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,5m,,
" Đường Điện Biên Phủ, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 16,8 tỷ ", 82 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"16,5m",3,60m,,
" Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,3 tỷ ", 60 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,15m,3,"7,5m",,
" 83 Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 1,79 tỷ ", 31 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,9m",8m,1,"2,5m",,
" Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 2,85 tỷ ", 55 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,1m","13,5m",3,"2,5m",,
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,95 tỷ ", 107 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2,15m,---,
" Đường Thanh Lương 18, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 100 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,",5m",,
" Đường Hùng Vương, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"," 2,78 tỷ ", 40 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,6m",9m,2,"2,5m",,---
" Đường Lý Tự Trọng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 7,6 tỷ ", 60 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,01m",---,3,10m,---,---
" Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 3,65 tỷ ", 43 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"8,5m",3,"5,5m",,
" Đường Yên Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 3,6 tỷ ", 43 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"8,5m",3,8m,,
" Đường Hồ Tùng Mậu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 12,99 tỷ ", 136 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,5m",21m,7,10m,,
" Đường Trương Chí Cương, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 2,55 tỷ ", 66 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,3m,22m,1,4m,---,---
" Đường Nguyễn Duy Hiệu, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,29 tỷ ", 79 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m","17,5m",2,4m,,
" Đường Phần Lăng 3, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 3,4 tỷ ", 76 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,1,5m,---,
" Đường Nguyễn Tất Thành, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 14,123 tỷ ", 125 m2,_,Nhà mặt tiền,---,5m,---,5,20m,---,---
" Đường Nại Nam, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 12 tỷ , 412 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,25m,5,"7,5m",---,---
" Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 11,5 tỷ ", 54 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"9,3m","5,8m",4,15m,,
" Đường Nguyễn Trung Ngạn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,98 tỷ / m2  ", 90 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,06m",18m,2,"5,5m",,
" Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 46 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,3,3m,,
" Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 2,5 tỷ ", 48 m2,Đông Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2,3m,---,
" Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 4,1 tỷ ", 43 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,11m,5,3m,,
" Đường Dương Thị Xuân Quý, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,3 tỷ ", 98 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,25m,1,"10,m",---,---
" Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,2 tỷ ", 61 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,5m",20m,---,"5,5m",---,
" Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"," 3,79 tỷ ", 49 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,3,3m,,---
" Đường Nguyễn Tất Thành, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 3,85 tỷ ", 50 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,3,3m,,
" 424 Đường Lê Duẩn, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 4,05 tỷ ", 85 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,3,3m,,---
" Đường Tố Hữu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 17,5 tỷ ", 155 m2,_,Nhà mặt tiền,---,8m,19m,3,"7,5m",---,---
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 11,5 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3,30m,---,---
" Đường Mân Quang 7, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 5,2 tỷ ", 75 m2,_,Nhà mặt tiền,---,5m,15m,3,"5,5m",---,---
" Đường Mộc Bài 9, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,3 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,"5,5m",,
" Đường Lâm Hoành, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,8 tỷ ", 67 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,17m,3,3m,---,---
" Đường An Thượng 12, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 3,4 tỷ ", 50 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,10m,2,4m,---,---
" Đường Nguyễn Tri Phương, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng", 33 tỷ , 364 m2,_,Nhà mặt tiền,---,---,---,1,33m,---,---
" Đường Nguyễn Giản Thanh, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 3,45 tỷ ", 70 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2,"5,5m",---,---
" Đường Hoàng Đình Ái, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,35 tỷ ", 125 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2,8m,,
" Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,2 tỷ ", 56 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,37m",13m,1,4m,---,---
" Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,29 tỷ ", 79 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m","17,5m",2,4m,,
" Đường Đào Trí, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 4,35 tỷ ", 75 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,"5,5m",---,---
" Đường Dương Bá Trạc, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 5,7 tỷ ", 76 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,"5,5m",---,---
" Đường Trần Văn Dư, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 22,2 tỷ ", 251 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"12,6m",---,4,"7,5m",,
" Đường Cồn Dầu 3, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,05 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"11,m",---,
" Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng", 15 tỷ , 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,21m,---,6,20m,,
" 52 Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng", 10 tỷ , 80 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,80m,18m,5,20m,,
" 152 Đường Hàm Nghi, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng", 32 tỷ , 116 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,4m",14m,4,15m,,
" Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 3,36 tỷ ", 56 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"7,49m",8m,4,3m,---,---
" Đường Đức Lợi 2, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng", 12 tỷ , 100 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,4,"7,5m",,
" Đường Mỹ An 17, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 7,5 tỷ ", 110 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,4,"7,5m",,
" Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 3,28 tỷ ", 79 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m","17,5m",2,4m,,
" Đường Trần Khánh Dư, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng", 9 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,5m","15,5m",2,7m,,
" Đường Nguyễn Văn Thoại, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,2 tỷ ", 57 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,2m","13,5m",3,5m,,
" Đường Hoàng Diệu, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng"," 7,1 tỷ ", 150 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,5m",25m,3,6m,,
" Đường Hoàng Diệu, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng"," 5,15 tỷ ", 65 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,3,6m,,
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,7 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,11m,,
" Đường Nguyễn Văn Thoại, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 25 tỷ , 114 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,38m","19,8m",3,"15,m",,
" Đường Nguyễn Khuyến, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,2 tỷ ", 116 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,1,8m,---,---
" Đường Trần Thánh Tông, Quận Sơn Trà, Đà Nẵng"," 11,4 tỷ ", 180 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,3,20m,---,---
" Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 12,5 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,---,5,20m,---,---
" Đường Trương Định, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng"," 5,65 tỷ ", 80 m2,_,Nhà mặt tiền,---,---,---,3,12m,,
" Đuờng Vũ Hữu, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 9,8 tỷ ", 105 m2,_,Nhà mặt tiền,---,5m,25m,3,"7,5m",,
" Đường Thạch Lam, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng", 11 tỷ , 170 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,1,5m,---,---
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 9 tỷ , 50 m2,_,Nhà mặt tiền,---,"4,5m",11m,5,30m,,
" Đường Nguyễn Văn Linh, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 6,2 tỷ ", 90 m2,_,Nhà mặt tiền,---,5m,18m,3,"5,5m",,
