Address,Prices,Area,toFace,type,certificate,width,length,floors
" Đường Chính Hữu, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 10,5 tỷ ", 140 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,28m,1
" Đường Châu Thị Vĩnh Tế, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 12,5 tỷ ", 100 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,1
" Đường Văn Cao, Quận Thanh Khê, Đà Nẵng"," 12,5 tỷ ", 96 m2,_,Nhà mặt tiền,---,---,---,---
" Đường Tân Phú 1, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng"," 6,1 tỷ ", 90 m2,_,Nhà mặt tiền,---,---,---,---
" Đường Thanh Vinh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 2,42 tỷ ", 175 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,25m,1
" Đường Phan Văn Định, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng", 14 tỷ , 353 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,9m",---,1
" Đường Dương Khuê, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 12 tỷ , 99 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,5
" Đường An Thượng 38, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 8,5 tỷ ", 60 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,12m,4
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,35 tỷ ", 53 m2,Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng", 25 tỷ , 310 m2,_,Nhà mặt tiền,---,10m,23m,2
" Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,3 tỷ ", 90 m2,_,Nhà trong hẻm,---,5m,18m,2
" Đường Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,7 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,2
" Đường Nước Mặn 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 14,5 tỷ ", 185 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,"18,5m",4
" Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,2 tỷ ", 61 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,5m",20m,---
" Đường Chế Lan Viên, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,7 tỷ ", 93 m2,_,Nhà trong hẻm,---,---,---,---
" 14 Đường An Hoà 1, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 6,35 tỷ ", 103 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"20,5m",3
" Đường Đống Đa, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 65 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Phan Thanh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 50 m2,Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,3
" Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,05 tỷ ", 62 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"," 3,35 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,10m,2
" Đường Phước Trường 14, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng", 40 tỷ , 200 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,17m,12m,8
" Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 2,5 tỷ ", 60 m2,_,Nhà trong hẻm,---,---,---,2
" Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,595 tỷ ", 105 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,21m,3
" Đường Dương Thị Xuân Quý, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 6,3 tỷ ", 98 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,25m,1
" Đường Lê Độ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 73 m2,Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,11m,2
" Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 4,1 tỷ ", 43 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,11m,5
" Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 46 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,5m",14m,3
" Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 5,1 tỷ ", 80 m2,Đông Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"21,5m",3
" Đường Hoàng Văn Thái, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 2,35 tỷ ", 115 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,19m,2
" Đường Dương Quảng Hàm, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,4 tỷ ", 80 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3
" Đường Quách Thị Trang, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" 305 Đường Yên Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 3,9 tỷ ", 42 m2,_,Nhà mặt tiền,Giấy tờ hợp lệ,5m,"8,5m",3
" 536.25.10 Đường Điện Biên Phủ, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 2,4 tỷ ", 61 m2,_,Nhà trong hẻm,Giấy tờ hợp lệ,"4,3m",15m,2
" Đường Võ Chí Công, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"," 3,1 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" 24 Đường An Trung 1, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 6,9 tỷ ", 98 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,1
" Đường Ngô Quyền, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 12,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,9m,---,2
" Đường Nguyễn Tri Phương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 9,5 tỷ ", 115 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,"28,6m",3
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 17,5 tỷ ", 130 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,13m,7
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 18 tỷ , 130 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,13m,7
" Đường Nguyễn Văn Thoại, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng"," 24,9 tỷ ", 114 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,5m","19,5m",3
" Đường Phần Lăng 9, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 3,9 tỷ ", 81 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",18m,1
" Đường Nguyễn Trung Trực, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 7,5 tỷ ", 100 m2,_,Nhà mặt tiền,---,7m,16m,1
" Đường Cao Bá Quát, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 5,1 tỷ ", 64 m2,_,Nhà mặt tiền,---,"4,4m","14,5m",1
" Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 3,7 tỷ ", 81 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,3
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 17,9 tỷ ", 130 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,"13,5m",7
" Đường Dương Quảng Hàm, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 5,5 tỷ ", 74 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","16,7m",3
" Đường Hoà Minh 21, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,6 tỷ ", 72 m2,_,Nhà mặt tiền,---,5m,---,3
" Đường Phạm Như Xương, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 3,75 tỷ ", 114 m2,_,Nhà mặt tiền,---,8m,---,1
" Đường Lưu Trọng Lư, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 5,9 tỷ ", 70 m2,_,Nhà mặt tiền,---,5m,---,4
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 3,75 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,---,3
" Đường Nguyễn Thị Minh Khai, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 16,8 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,4
" Đường Phạm Phú Thứ, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng", 15 tỷ , 58 m2,_,Nhà mặt tiền,---,"4,7m","12,5m",4
" Đường Phạm Tu, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 5,2 tỷ ", 56 m2,_,Nhà mặt tiền,---,4m,16m,3
" Đường Mỹ Đa Đông 5, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 7,2 tỷ ", 68 m2,_,Nhà mặt tiền,---,4m,17m,5
" Đường Trần Bình Trọng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"," 17,5 tỷ ", 110 m2,_,Nhà mặt tiền,---,"6,2m",17m,4
" Đường Bùi Viện, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 11 tỷ , 88 m2,_,Nhà mặt tiền,---,5m,"17,5m",5
" Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,15 tỷ ", 65 m2,Tây,Nhà trong hẻm,---,5m,14m,---
" Đường Phùng Chí Kiên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,5 tỷ ", 90 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3
" Đường Trần Lê, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 9 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Đa Phước 4, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 28,5 tỷ ", 289 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,"19,3m",3
" 278 Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 1,5 tỷ ", 36 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,3m,12m,1
" 376 Đường Trần Cao Vân, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 3,3 tỷ ", 57 m2,Tây,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,3
" Đường Tống Duy Tân, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 2,75 tỷ ", 65 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"16,25m",2
" 141 Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 5,3 tỷ ", 95 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,"13,5m",3
" Đường Hoàng Minh Thảo, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 4,29 tỷ ", 107 m2,Đông Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,10m,13m,3
" Đường Bình Kỳ, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"," 3,75 tỷ ", 250 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,36m,1
" Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 2,5 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,---,2
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 1,95 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,---,1
" Đường Lê Duẩn, Phường Tân Chính, Quận Hải Châu, Đà Nẵng"," 3,15 tỷ ", 60 m2,_,Nhà trong hẻm,Giấy tờ hợp lệ,4m,---,2
" Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng", 15 tỷ , 150 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,21m,---,6
" Đường Ngô Thì Sĩ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 15,799 tỷ ", 106 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,4
" Đường Trường Thi 4 Đường Nguyễn Văn Linh, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 6,2 tỷ ", 90 m2,_,Nhà mặt tiền,---,5m,18m,3
" Đường Đinh Núp, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 5,2 tỷ ", 81 m2,_,Nhà mặt tiền,---,"4,5m",18m,3
" Đường Lê Thanh Nghị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 12,5 tỷ ", 70 m2,_,Nhà mặt tiền,---,5m,14m,4
" Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 5,7 tỷ ", 75 m2,_,Nhà mặt tiền,---,"4,87m","15,5m",3
" Đường Sơn Thủy 2, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng", 5 tỷ , 115 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,---,2
" Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 3,6 tỷ ", 40 m2,_,Nhà trong hẻm,---,---,---,3
" Đường Đỗ Bá, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 12,5 tỷ ", 71 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,11m,---,---
" Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng", 11 tỷ , 69 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,65m","18,5m",1
" Đường Ngô Thì Hương, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 5,5 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Nguyễn Công Trứ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 9,99 tỷ ", 111 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",25m,1
" Đường Trương Định, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 7,7 tỷ ", 96 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,13m,15m,3
" Đường Lâm Hoành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 3,8 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,17m,3
" Nguyễn Xuân Khoát, Sơn Trà, Đà Nẵng Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 16 tỷ , 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,10
" Đường Nguyễn Hữu Thọ, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 17 tỷ , 125 m2,_,Nhà mặt tiền,---,5m,---,4
" Đường Nguyễn Tất Thành, Phường Tam Thuận, Quận Thanh Khê, Đà Nẵng"," 3,85 tỷ ", 50 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,13m,3
" Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,2 tỷ ", 61 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,5m",20m,---
" Đường Hải Phòng, Phường Tân Chính, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 46 m2,Đông,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,3
" Đường Lê Hữu Khánh, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 15,5 tỷ ", 200 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,---,3
" Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 3,3 tỷ ", 109 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,1
" Đường An Trung, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 3,9 tỷ ", 55 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Phạm Hùng, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng"," 6,95 tỷ ", 107 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"21,5m",2
" Đường Mỹ Khê 4, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 3,3 tỷ ", 84 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",19m,2
" Xã Hòa Phong, Huyện Hòa Vang, Đà Nẵng"," 2,15 tỷ ", 450 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"9,8m",46m,1
" Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 2,5 tỷ ", 48 m2,Đông Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2
" Đường Kinh Dương Vương, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 6,999 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3
" Đường Bằng Lăng 1, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 10,9 tỷ ", 100 m2,Tây Bắc,Nhà mặt tiền,---,5m,20m,3
" Đường Lý Tự Trọng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng"," 5,5 tỷ ", 59 m2,Tây,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,2m","9,54m",3
" Đường Xuân Đán 2, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 5,1 tỷ ", 89 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"17,8m",1
" Đường An Thượng 18, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,5 tỷ ", 40 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,10m,1
" Đường Tố Hữu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,8 tỷ ", 100 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,1
" Đường Phan Thị Nể, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,5 tỷ ", 81 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Phú Xuân 1, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,5 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,1
" Đường Nguyễn Bỉnh Khiêm, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng", 6 tỷ , 52 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,3m","9,57m",3
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 4,5 tỷ ", 140 m2,_,Nhà mặt tiền,---,6m,---,2
" Đường Nại Hiên Đông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,6 tỷ ", 68 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,2
" Đường Bùi Dương Lịch, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 4,45 tỷ ", 72 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,16m,3
" 12 Đường Cao Sơn Pháo, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 3,8 tỷ ", 61 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,10m,3
" 12 Đường Cù Chính Lan, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 5,9 tỷ ", 78 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",17m,3
" Đường Hùng Vương, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 5,4 tỷ ", 112 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,16m,2
" Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,69 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,15m,3
" Đường Đoàn Phú Tứ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 1,75 tỷ ", 58 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,1
" Đường Nại Hiên Đông 8, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,18 tỷ ", 72 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,18m,2
" mt kỳ đồng Đường Kỳ Đồng, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng", 8 tỷ , 85 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3
" kiệt 70 Đường Nguyễn Du, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 3,5 tỷ ", 63 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,3m",14m,2
" Đường Bạch Thái Bưởi, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 5,5 tỷ ", 97 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,19m,3
" Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 9,7 tỷ ", 103 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"20,3m",4
" Đường An Mỹ, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 4,5 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,15m,1
" Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 5,3 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,12m,2
" Đường An Thượng 38, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 8,699 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",15m,4
" Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 30 tỷ , 336 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"9,5m",32m,3
" Đường Vương Thừa Vũ, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 36 tỷ , 222 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,12m,19m,1
